,RA,DEC,RGC,F115W,F444W
22,210.8989215579035,54.3498729031577,10.114795603900632,19.198,16.751
24,210.83500333085843,54.32717989094843,4.3127356825237255,19.14,16.358
25,210.8685157376263,54.353532246894034,6.94511047906554,19.191,16.031
28,210.80860314240851,54.347693492781374,0.6622482975270936,19.207,16.568
36,210.81335566473336,54.34095772273517,1.5028235927913849,19.322,16.824
48,210.8302018788863,54.363628078829215,3.391490069463058,19.537,16.93
50,210.80867136241483,54.34770168617152,0.6689199161098991,19.533,17.08
57,210.8595168406154,54.33096882316343,6.36831796396312,19.604,16.923
62,210.84721869562392,54.357940821052935,4.80973165330809,19.625,17.167
68,210.89782982213308,54.35003453563814,10.000460772106043,19.776,16.594
74,210.8457338670113,54.3421965977986,4.611106927178742,19.76,16.928
76,210.8617697043414,54.34206755239463,6.27523771821741,19.795,17.302
80,210.8970224272131,54.35802581493768,9.972272023624123,19.795,17.159
81,210.86720924805857,54.33787263086301,6.922154720621561,19.819,17.334
83,210.8063674473605,54.33178556651905,2.124253308363478,19.75,16.708
94,210.88204964556644,54.37383085236759,8.857823910831735,19.826,17.422
96,210.79014336044676,54.350179333704446,1.3026752393612235,19.765,16.962
98,210.77900780365133,54.34553845932455,2.5014451308830696,19.761,17.09
100,210.8823906490192,54.3731680141373,8.865155264704775,19.85,17.307
107,210.80580995694663,54.333991659304154,1.8523077629794764,19.798,17.273
127,210.86657858362952,54.350929460726306,6.725198222382803,19.956,17.543
131,210.81725442351353,54.343039598873254,1.7112688938709202,19.944,17.43
133,210.80662910222165,54.348225933511024,0.4457475518914191,19.898,17.165
152,210.8029900131865,54.34857189313029,0.081773783289762,19.941,17.421
159,210.779269890912,54.347682199487195,2.442816743693766,19.975,17.315
170,210.8838327104107,54.37846908498489,9.232911187744527,20.062,17.37
197,210.88548773664172,54.336416304338314,8.839592408459518,20.11,17.682
217,210.85930609559935,54.35620262510386,6.0194332425474295,20.145,17.466
225,210.84397009403423,54.34497578973597,4.37862293644593,20.214,17.485
226,210.8421900213808,54.34299212260872,4.228199542881037,20.195,17.15
227,210.8534889941799,54.32917191980739,5.863577520588846,20.167,17.054
243,210.82288676924148,54.33722323369502,2.573014570633669,20.232,17.638
256,210.8012790470229,54.34899148981258,0.1287410538831501,20.196,17.434
257,210.8028375129045,54.34789553555137,0.1493093568992685,20.193,17.602
266,210.8351458018704,54.3373148295081,3.707398544086357,20.271,17.827
268,210.86900796719496,54.350001363574805,6.977344293943104,20.274,17.825
275,210.86777240744755,54.358643992765096,6.941982236243437,20.23,17.691
280,210.85104817238724,54.32984497457629,5.5967828620759335,20.249,17.691
293,210.8436246280309,54.34077009370889,4.429432197924917,20.315,17.587
297,210.84253080473871,54.348734903742454,4.199414511186285,20.321,17.703
298,210.83922303411083,54.34030370853332,3.995580825453875,20.337,17.907
300,210.86972664013896,54.34802355347656,7.053247734260276,20.359,17.796
305,210.83571172785983,54.34179348385279,3.593556040098236,20.338,17.609
322,210.79114403645215,54.34949006176322,1.1921421181333829,20.286,17.72
338,210.8535070469184,54.331336913439465,5.763406665890699,20.365,17.761
348,210.8135201807606,54.340589294949034,1.545018114859592,20.356,17.768
370,210.81465130054977,54.345622025235826,1.3417543323065442,20.377,17.495
373,210.8628152781596,54.35834383482245,6.42345973969685,20.377,17.375
385,210.86796837257148,54.3317872282588,7.178420897659658,20.43,17.997
397,210.8355967439021,54.34014159057394,3.63591517268384,20.472,17.806
419,210.83503033645897,54.3530472886421,3.4451678067876137,20.447,17.815
425,210.82509868634216,54.34810496432191,2.3736204834394536,20.438,17.352
436,210.85776651559848,54.35740773932359,5.882485044778638,20.482,18.073
457,210.8715003345855,54.35751822083206,7.307940166327942,20.49,17.717
487,210.82438380416815,54.33768631090074,2.675901051883261,20.565,17.377
522,210.8510483969294,54.377387084889456,6.1255023480549715,20.669,18.112
525,210.81403560767112,54.34762443841479,1.223065749307136,20.561,18.037
533,210.86972486634565,54.36685549071776,7.367374930893295,20.644,18.007
541,210.8568197898811,54.37109511219362,6.282254852908908,20.688,17.823
551,210.8307838656618,54.344701552880416,3.0140004812014163,20.649,18.223
553,210.78706265853205,54.34092072159829,1.8955396139720817,20.565,17.56
569,210.86596673065156,54.35869081079349,6.7562361952183885,20.619,17.691
579,210.8078882959459,54.33714092020905,1.5471780833969049,20.596,18.161
602,210.8064909027545,54.333824795526944,1.8866100812422164,20.634,17.935
612,210.87407847522425,54.355430810132574,7.546496708664006,20.653,17.991
613,210.79486830774013,54.35449946269459,1.0313184867749607,20.619,17.728
640,210.83200267678228,54.337337733913635,3.403953498727582,20.734,17.942
652,210.81454846138547,54.34420099246168,1.3948527622762552,20.686,18.016
657,210.83848726800883,54.34774072158438,3.778615164549324,20.737,17.83
661,210.87128461949465,54.34637155994122,7.223110385719059,20.781,18.227
713,210.8654092996489,54.36267726723639,6.797571724515411,20.758,17.727
763,210.78668673037703,54.35047453098493,1.6669972410170568,20.79,18.161
793,210.86256214773624,54.35816049121571,6.3935218438696,20.815,18.185
799,210.86792078104935,54.3759995945036,7.586672759378885,20.944,18.33
802,210.79776796206193,54.346516408119115,0.5858474594138497,21.765,18.66
807,210.840269799267,54.3322318365765,4.453130392321393,20.891,18.048
827,210.8271333736901,54.34057832367475,2.780579771464565,20.949,18.126
832,210.86244613070423,54.36221909011032,6.482712594275714,20.887,18.412
864,210.78035152872977,54.34544326863485,2.3648062135731616,21.783,18.616
869,210.86801134026425,54.38486560617456,8.107739332396788,20.836,18.328
870,210.8434591500707,54.34682739873915,4.305373964234291,20.942,18.398
892,210.84602878415177,54.345606337979525,4.585634080947248,20.987,18.529
893,210.8670914773755,54.34800303711152,6.776917894555679,20.98,18.561
899,210.8500437035273,54.37581033023961,5.933252740300233,21.014,18.177
931,210.81866845067137,54.345100358952095,1.7631927669385312,20.938,18.129
964,210.86201513249023,54.329616410306386,6.670790456462093,20.98,18.383
979,210.8164288851352,54.351836952069426,1.4977852535834482,20.956,18.331
989,210.863597422388,54.36952548824493,6.863359377426337,21.041,18.298
1008,210.80213252915695,54.341895856318295,0.8684346505629804,21.952,19.25
1016,210.80498631129217,54.34706216348013,0.3581232568911204,20.978,18.09
1021,210.8205036868505,54.36124795294794,2.3886853036850773,20.964,18.225
1043,210.8667207657873,54.35881985004676,6.836806174308181,21.011,17.964
1064,210.7963064076108,54.33563022160923,1.747445661246856,22.033,19.296
1065,210.81180437485497,54.32021795329275,3.612636200441661,20.998,18.395
1067,210.85210896675696,54.37391115924472,5.999339044002629,21.124,17.945
1075,210.81394923534344,54.32945124403087,2.653727012786101,21.004,18.276
1077,210.84562084948644,54.354612507852565,4.571461885041352,21.053,18.637
1109,210.7882044068768,54.347236470270275,1.516317759152496,21.908,19.505
1129,210.86959979303816,54.36153974386356,7.19527499687966,21.076,18.504
1132,210.84152671181047,54.34461450591583,4.129543645082985,21.121,18.643
1160,210.85069871703243,54.3485938330636,5.056364815918075,21.187,18.063
1205,210.81563654764693,54.36270895831386,2.141084058835253,21.098,18.532
1227,210.8518847065681,54.35708844298445,5.268450050356041,21.16,18.367
1281,210.88009780931304,54.361827425733935,8.281693209023858,21.174,18.132
1313,210.7962274145739,54.3541984854015,0.8999354726930016,22.138,19.675
1329,210.8679641517107,54.36838650833767,7.247709486890459,21.285,18.333
1332,210.91797193428445,54.37422005831282,12.481271667404462,21.267,18.85
1358,210.8952993176607,54.39045060303354,10.92991518031395,21.19,18.636
1389,210.8593598891271,54.356551293314034,6.031097695703169,21.261,18.599
1441,210.8341542268377,54.343536557303054,3.38761664363744,21.37,18.454
1457,210.8647762622432,54.377495492246005,7.371572508441557,21.382,18.807
1467,210.84558160779704,54.36645854961682,4.978396742031352,21.289,18.303
1490,210.8713869397702,54.36707603023987,7.541914736950155,21.342,18.533
1499,210.79855881068147,54.33310352138949,1.9702989522565388,21.287,18.834
1506,210.80379735270404,54.33185392434679,2.081361318234476,22.288,19.866
1516,210.8498381422858,54.36092914639588,5.165305009530843,21.334,18.333
1519,210.8675436836653,54.34075700757096,6.897240169332639,21.394,18.468
1531,210.84867718471168,54.34139709533588,4.932381961045229,21.409,18.998
